gene_stable_id	hgnc_symbol	chromosome_scaffold_name	gene_start_bp	gene_end_bp	gene_percent_gc_content	gene_type
ENSG00000122592	HOXA7	7	27153716	27157936	56.62	protein_coding
ENSG00000176624	MEX3C	18	51174550	51218304	41.02	protein_coding
ENSG00000166523	CLEC4E	12	8533305	8540963	39.78	protein_coding
ENSG00000149187	CELF1	11	47465933	47565569	43.94	protein_coding
ENSG00000107968	MAP3K8	10	30433937	30461833	42.71	protein_coding
ENSG00000182938	OTOP3	17	74935719	74949992	53.61	protein_coding
ENSG00000197576	HOXA4	7	27128507	27130799	57.04	protein_coding
ENSG00000107159	CA9	9	35673856	35681159	52.6	protein_coding
ENSG00000178235	SLITRK1	13	83877205	83882393	47.31	protein_coding
ENSG00000110025	SNX15	11	65027408	65040572	51.28	protein_coding
ENSG00000121871	SLITRK3	3	165186720	165197109	45.53	protein_coding
ENSG00000003509	NDUFAF7	2	37231631	37253403	38.97	protein_coding
ENSG00000108883	EFTUD2	17	44849943	44899662	46.25	protein_coding
ENSG00000106006	HOXA6	7	27145396	27150603	53.82	protein_coding
ENSG00000173040	EVC2	4	5542772	5709548	45.06	protein_coding
ENSG00000233087	RAB6D	2	131361111	131364142	42.55	protein_coding
ENSG00000110074	FOXRED1	11	126269055	126278131	51.05	protein_coding
ENSG00000130775	THEMIS2	1	27872543	27886685	54.04	protein_coding
ENSG00000158050	DUSP2	2	96143166	96145440	63.6	protein_coding
ENSG00000094804	CDC6	17	40287633	40304657	43.75	protein_coding
ENSG00000197416	FABP12	8	81524981	81531378	36.62	protein_coding
ENSG00000196415	PRTN3	19	840960	848175	58.02	protein_coding
ENSG00000174945	AMZ1	7	2679522	2775500	50.95	protein_coding
ENSG00000167861	HID1	17	74950743	74973166	58.04	protein_coding
ENSG00000160695	VPS11	11	119067692	119081978	48.94	protein_coding
ENSG00000085563	ABCB1	7	87503633	87713323	37.04	protein_coding
ENSG00000064961	HMG20B	19	3572777	3579088	65.34	protein_coding
ENSG00000047849	MAP4	3	47850690	48089272	43.43	protein_coding
ENSG00000170323	FABP4	8	81478419	81483263	34.86	protein_coding
ENSG00000137135	ARHGEF39	9	35658875	35675866	49.95	protein_coding
ENSG00000205186	FABP9	8	81458341	81461579	36.62	protein_coding
ENSG00000172575	RASGRP1	15	38488103	38565575	41.82	protein_coding
ENSG00000147588	PMP2	8	81440326	81447523	34.13	protein_coding
ENSG00000146535	GNA12	7	2728112	2844324	45.87	protein_coding
ENSG00000273003	ARL2-SNX15	11	65014182	65040570	52.41	protein_coding
ENSG00000074696	HACD3	15	65530418	65578352	42.55	protein_coding
ENSG00000213465	ARL2	11	65014113	65022184	55.34	protein_coding
ENSG00000159884	CCDC107	9	35658290	35661511	52.82	protein_coding
ENSG00000205838	TTC23L	5	34838833	34899456	39.96	protein_coding
ENSG00000100068	LRP5L	22	25351418	25405377	54.66	protein_coding
ENSG00000174429	ABRA	8	106759483	106770245	40.25	protein_coding
ENSG00000115523	GNLY	2	85685175	85698854	45.86	protein_coding
ENSG00000070047	PHRF1	11	576486	612222	56.31	protein_coding
ENSG00000015520	NPC1L1	7	44512535	44541315	51.5	protein_coding
ENSG00000160446	ZDHHC12	9	128720869	128724127	61.4	protein_coding
ENSG00000101966	XIAP	23	123859724	123913979	41.98	protein_coding
ENSG00000105325	FZR1	19	3506273	3538330	60.71	protein_coding
ENSG00000128849	CGNL1	15	57375967	57550727	43.81	protein_coding
ENSG00000218739	CEBPZOS	2	37196488	37216193	38.06	protein_coding
ENSG00000101349	PAK5	20	9537389	9839041	39.34	protein_coding
ENSG00000178115	GOLGA8Q	15	30552078	30562501	53.23	protein_coding
ENSG00000145734	BDP1	5	71455615	71567820	39.84	protein_coding
ENSG00000197798	FAM118B	11	126211414	126262986	41.9	protein_coding
ENSG00000133195	SLC39A11	17	72645949	73092712	45.91	protein_coding
ENSG00000115947	ORC4	2	147930397	148021604	36.15	protein_coding
ENSG00000160447	PKN3	9	128702523	128720918	57.66	protein_coding
ENSG00000198910	L1CAM	23	153861514	153886174	59.97	protein_coding
ENSG00000115816	CEBPZ	2	37201612	37231713	38.07	protein_coding
ENSG00000180035	ZNF48	16	30378106	30400108	53.07	protein_coding
ENSG00000121104	FAM117A	17	49710332	49789180	46.7	protein_coding
ENSG00000275410	HNF1B	17	37686432	37745247	48.11	protein_coding
ENSG00000085760	MTIF2	2	55236595	55269347	39.6	protein_coding
ENSG00000205143	ARID3C	9	34621379	34628107	55.85	protein_coding
ENSG00000175356	SCUBE2	11	9019498	9138114	44.09	protein_coding
ENSG00000168515	SCGB1D1	11	62190216	62193539	48.38	protein_coding
ENSG00000170209	ANKK1	11	113387791	113400418	50.93	protein_coding
ENSG00000198862	LTN1	21	28928144	28992956	36.74	protein_coding
ENSG00000180096	SEPT1	16	30378133	30395991	52.75	protein_coding
ENSG00000189129	PLAC9	10	80131682	80145359	50.35	protein_coding
ENSG00000137757	CASP5	11	104994235	105023168	37.19	protein_coding
ENSG00000138068	SULT6B1	2	37167820	37196598	41.42	protein_coding
ENSG00000102243	VGLL1	23	136532152	136556807	43.66	protein_coding
ENSG00000159618	ADGRG5	16	57542421	57591681	47.15	protein_coding
ENSG00000101292	PROKR2	20	5302040	5314369	43.97	protein_coding
ENSG00000011105	TSPAN9	12	3077355	3286564	52.13	protein_coding
ENSG00000115459	ELMOD3	2	85354394	85391752	46.14	protein_coding
ENSG00000124935	SCGB1D2	11	62242210	62244808	52.1	protein_coding
ENSG00000127663	KDM4B	19	4969113	5153595	57.26	protein_coding
ENSG00000124939	SCGB2A1	11	62208668	62213939	44.31	protein_coding
ENSG00000021488	SLC7A9	19	32830509	32869766	46.62	protein_coding
ENSG00000135378	PRRG4	11	32829943	32858123	39.17	protein_coding
ENSG00000133884	DPF2	11	65333754	65353249	48.63	protein_coding
ENSG00000205531	"NAP1L4"	11	2944431	2992377	44.27	protein_coding
ENSG00000124216	SNAI1	20	49982999	49988886	55.16	protein_coding
ENSG00000160224	AIRE	21	44285838	44298648	63.87	protein_coding
ENSG00000103260	METRN	16	715115	719655	66.79	protein_coding
ENSG00000214309	MBLAC1	7	100126694	100128498	65.43	protein_coding
ENSG00000106290	TAF6	7	100107070	100119841	53.95	protein_coding
ENSG00000127377	CRYGN	7	151428835	151440813	57.73	protein_coding
ENSG00000167716	WDR81	17	1716523	1738599	57.66	protein_coding
ENSG00000204406	MBD5	2	148021011	148516971	36.28	protein_coding
ENSG00000165526	RPUSD4	11	126202094	126211692	43.35	protein_coding
ENSG00000127837	AAMP	2	218264123	218270257	56.53	protein_coding
ENSG00000136504	KAT7	17	49788555	49835030	42.42	protein_coding
ENSG00000072310	SREBF1	17	17810399	17837002	58.04	protein_coding
ENSG00000131095	GFAP	17	44903161	44916937	56.14	protein_coding
ENSG00000149295	DRD2	11	113409615	113475691	48.35	protein_coding
ENSG00000183914	DNAH2	17	7717354	7833744	48.43	protein_coding
ENSG00000105656	ELL	19	18442663	18522127	55.52	protein_coding
ENSG00000105829	BET1	7	93962762	94004382	35.67	protein_coding
ENSG00000261667	LY6L	8	143080457	143083001	62.04	protein_coding
ENSG00000137261	KIAA0319	6	24544104	24646155	41.54	protein_coding
ENSG00000072858	SIDT1	3	113532296	113629578	40.79	protein_coding
ENSG00000106524	ANKMY2	7	16599776	16645817	38.01	protein_coding
ENSG00000176956	LY6H	8	143157914	143160711	69.94	protein_coding
ENSG00000174721	FGFBP3	10	91906589	91909483	52.5	protein_coding
ENSG00000103227	LMF1	16	853634	981318	56.82	protein_coding
ENSG00000071205	ARHGAP10	4	147732063	148072780	40.94	protein_coding
ENSG00000166971	AKTIP	16	53491040	53504411	45.45	protein_coding
ENSG00000174485	DENND4A	15	65658046	65792293	37.31	protein_coding
ENSG00000161016	RPL8	8	144789765	144792587	60.89	protein_coding
ENSG00000012174	MBTPS2	23	21839636	21885424	38.49	protein_coding
ENSG00000136574	GATA4	8	11676959	11760002	48.32	protein_coding
ENSG00000158234	FAIM	3	138608606	138633376	40.46	protein_coding
ENSG00000205464	ATP6AP1L	5	82279462	82386977	40.74	protein_coding
ENSG00000111732	AICDA	12	8602166	8612871	41.42	protein_coding
ENSG00000140459	CYP11A1	15	74337759	74367740	47.6	protein_coding
ENSG00000132470	ITGB4	17	75721328	75757818	57.98	protein_coding
ENSG00000164588	HCN1	5	45254950	45696498	34.76	protein_coding
ENSG00000137193	PIM1	6	37170203	37175426	53.6	protein_coding
ENSG00000230797	YY2	23	21855987	21858727	46.04	protein_coding
ENSG00000198873	GRK5	10	119207589	119459742	50.47	protein_coding
ENSG00000147955	SIGMAR1	9	34634722	34637809	57.25	protein_coding
ENSG00000235098	ANKRD65	1	1418420	1421769	66.51	protein_coding
ENSG00000176200	OR4D11	11	59503576	59504511	49.68	protein_coding
ENSG00000168356	SCN11A	3	38845769	38950561	39.39	protein_coding
ENSG00000106615	RHEB	7	151466012	151520120	42	protein_coding
ENSG00000172742	OR4D9	11	59511368	59520703	42.42	protein_coding
ENSG00000177752	YIPF7	4	44622065	44678556	36.7	protein_coding
ENSG00000151779	NBAS	2	15166909	15561330	38.12	protein_coding
ENSG00000277494	GPIHBP1	8	143213193	143217170	63.37	protein_coding
ENSG00000151806	GUF1	4	44678427	44700926	33.75	protein_coding
ENSG00000160613	PCSK7	11	117204337	117232525	50.91	protein_coding
ENSG00000136478	TEX2	17	64147227	64263301	43.58	protein_coding
ENSG00000132205	EMILIN2	18	2847030	2915993	47.46	protein_coding
ENSG00000205116	TMEM88B	1	1426128	1427787	70.6	protein_coding
ENSG00000110048	OSBP	11	59574398	59616144	42.8	protein_coding
ENSG00000095564	BTAF1	10	91923769	92030325	37.37	protein_coding
ENSG00000121989	ACVR2A	2	147844517	147930826	35.46	protein_coding
ENSG00000103479	RBL2	16	53433977	53491649	38.71	protein_coding
ENSG00000164287	CDC20B	5	55112995	55173175	39.64	protein_coding
ENSG00000204287	HLA-DRA	6	32439842	32445046	42.88	protein_coding
ENSG00000163281	GNPDA2	4	44682200	44726595	33.84	protein_coding
ENSG00000218336	TENM3	4	182143987	182803024	38.92	protein_coding
ENSG00000187753	C9orf153	9	86220265	86259657	41.62	protein_coding
ENSG00000074855	ANO8	19	17323223	17334829	62.67	protein_coding
ENSG00000099968	BCL2L13	22	17628855	17730855	42.8	protein_coding
ENSG00000275774	HNRNPCL2	1	13115496	13116854	46.14	protein_coding
ENSG00000085274	MYNN	3	169772831	169789716	37.29	protein_coding
ENSG00000108557	RAI1	17	17681473	17811453	56.45	protein_coding
ENSG00000103769	RAB11A	15	65726054	65891991	40.1	protein_coding
ENSG00000140386	SCAPER	15	76347904	76905444	37.7	protein_coding
ENSG00000284987	NA	23	153872221	153909223	55.55	protein_coding
ENSG00000188917	TRMT2B	23	101009346	101052116	44.9	protein_coding
ENSG00000181638	ZFP41	8	143246821	143262705	57.2	protein_coding
ENSG00000149972	CNTN5	11	99020953	100358885	35.04	protein_coding
ENSG00000090686	USP48	1	21678298	21783606	41.84	protein_coding
ENSG00000176681	LRRC37A	17	46292733	46337794	42.28	protein_coding
ENSG00000173237	C11orf86	11	66975277	66977004	59.9	protein_coding
ENSG00000127220	ABHD8	19	17292131	17310236	54.9	protein_coding
ENSG00000160999	SH2B2	7	102285091	102321711	56.99	protein_coding
ENSG00000095397	WHRN	9	114402080	114505450	48.36	protein_coding
ENSG00000250571	GLI4	8	143267433	143276931	64.03	protein_coding
ENSG00000170006	TMEM154	4	152618632	152680165	41.53	protein_coding
ENSG00000144635	DYNC1LI1	3	32525971	32570874	39.16	protein_coding
ENSG00000100079	LGALS2	22	37570246	37582616	50.79	protein_coding
ENSG00000111802	TDP2	6	24649977	24667033	39.02	protein_coding
ENSG00000074621	SLC24A1	15	65611366	65660995	44.73	protein_coding
ENSG00000149591	TAGLN	11	117199321	117204782	57.93	protein_coding
ENSG00000130311	DDA1	19	17309518	17323301	56.15	protein_coding
ENSG00000197641	SERPINB13	18	63586989	63604639	38.32	protein_coding
ENSG00000264668	NA	8	143247110	143276403	59.4	protein_coding
ENSG00000136110	CNMD	13	52703264	52739812	41.91	protein_coding
ENSG00000173227	SYT12	11	67006778	67050863	53.68	protein_coding
ENSG00000179403	VWA1	1	1434861	1442882	66.36	protein_coding
ENSG00000198286	CARD11	7	2906141	3043945	49.24	protein_coding
ENSG00000166592	RRAD	16	66921679	66925644	60.16	protein_coding
ENSG00000130312	MRPL34	19	17292609	17306843	54.25	protein_coding
ENSG00000164294	GPX8	5	55160118	55167071	39.03	protein_coding
ENSG00000228696	ARL17B	17	46274784	46361797	43.65	protein_coding
ENSG00000131759	RARA	17	40309192	40357643	56.99	protein_coding
ENSG00000128881	TTBK2	15	42738734	42920809	39.87	protein_coding
ENSG00000126950	TMEM35A	23	101078720	101096364	44.18	protein_coding
ENSG00000174695	TMEM167A	5	83052846	83077863	35.95	protein_coding
ENSG00000082068	WDR70	5	37379212	37753435	39	protein_coding
ENSG00000124120	TTPAL	20	44475886	44494603	46.55	protein_coding
ENSG00000197561	ELANE	19	851014	856247	58.58	protein_coding
ENSG00000115902	SLC1A4	2	64988477	65023865	45.52	protein_coding
ENSG00000172432	GTPBP2	6	43605316	43629162	46.56	protein_coding
ENSG00000111846	GCNT2	6	10492223	10629368	43.51	protein_coding
ENSG00000121073	SLC35B1	17	49700934	49709014	47.79	protein_coding
ENSG00000221838	AP4M1	7	100101549	100110345	56.13	protein_coding
ENSG00000152422	XRCC4	5	83077498	83353787	35.2	protein_coding
ENSG00000132623	ANKEF1	20	9986126	10058303	37.26	protein_coding
ENSG00000154217	PITPNC1	17	67377281	67697261	44.62	protein_coding
ENSG00000136750	GAD2	10	26216307	26304558	42.75	protein_coding
ENSG00000273513	TBC1D3K	17	37924415	37935365	60.09	protein_coding
ENSG00000169989	TIGD4	4	152769354	152779764	38.34	protein_coding
ENSG00000145217	SLC26A1	4	979073	993440	58.39	protein_coding
ENSG00000149577	SIDT2	11	117178733	117197445	55.97	protein_coding
ENSG00000125998	FAM83C	20	35285731	35292401	58.06	protein_coding
ENSG00000060749	QSER1	11	32892820	32993316	38.69	protein_coding
ENSG00000182871	COL18A1	21	45405137	45513720	59.66	protein_coding
ENSG00000278662	GOLGA6L10	15	82339998	82349475	47.97	protein_coding
ENSG00000145214	DGKQ	4	958887	986895	60.54	protein_coding
ENSG00000138614	INTS14	15	65578753	65611289	40.67	protein_coding
ENSG00000168754	FAM178B	2	96875882	96986592	52.11	protein_coding
ENSG00000198502	HLA-DRB5	6	32517343	32530287	42.84	protein_coding
ENSG00000145555	MYO10	5	16661914	16936276	44.1	protein_coding
ENSG00000135070	ISCA1	9	86264546	86283102	41.36	protein_coding
ENSG00000132639	SNAP25	20	10218830	10307418	40.89	protein_coding
ENSG00000170315	UBB	17	16380798	16382745	51.44	protein_coding
ENSG00000132510	KDM6B	17	7839904	7854796	60.63	protein_coding
ENSG00000214447	FAM187A	17	44899712	44905390	51.7	protein_coding
ENSG00000060566	CREB3L3	19	4153601	4173054	52.71	protein_coding
ENSG00000206073	SERPINB4	18	63637259	63644298	38	protein_coding
ENSG00000131097	HIGD1B	17	44846353	44850480	52.42	protein_coding
ENSG00000159086	PAXBP1	21	32733899	32771858	38.15	protein_coding
ENSG00000084764	MAPRE3	2	26970612	27027196	45.89	protein_coding
ENSG00000166889	PATL1	11	59636716	59668980	39.82	protein_coding
ENSG00000280267	PRAMEF26	1	13148905	13155961	48.32	protein_coding
ENSG00000240654	C1QTNF9	13	24307166	24322535	47.14	protein_coding
ENSG00000215915	ATAD3C	1	1449689	1470158	56.98	protein_coding
ENSG00000184564	SLITRK6	13	85792787	85806683	32.59	protein_coding
ENSG00000167131	CCDC103	17	44899142	44905390	52.63	protein_coding
ENSG00000179412	HNRNPCL4	1	13164586	13165467	48.64	protein_coding
ENSG00000170734	POLH	6	43576150	43615660	43.39	protein_coding
ENSG00000011426	ANLN	7	36389806	36453791	37.88	protein_coding
ENSG00000182957	SPATA13	13	23979805	24307074	44.13	protein_coding
ENSG00000127415	IDUA	4	986997	1004506	65.45	protein_coding
ENSG00000101542	CDH20	18	61333582	61555773	39.04	protein_coding
ENSG00000165568	AKR1E2	10	4786629	4848062	42.59	protein_coding
ENSG00000204505	PRAMEF9	1	13172455	13179464	48.13	protein_coding
ENSG00000217128	FNIP1	5	131641714	131797063	37.77	protein_coding
ENSG00000101188	NTSR1	20	62708837	62762771	55.17	protein_coding
ENSG00000109787	KLF3	4	38664196	38701042	41.91	protein_coding
ENSG00000165269	AQP7	9	33383179	33402682	53.23	protein_coding
ENSG00000167393	PPP2R3B	23	333963	386955	58.29	protein_coding
ENSG00000157353	FUK	16	70454421	70480274	55.27	protein_coding
ENSG00000148795	CYP17A1	10	102830531	102837533	52.48	protein_coding
ENSG00000042445	RETSAT	2	85342088	85354620	51.7	protein_coding
ENSG00000124208	TMEM189-UBE2V1	20	50081124	50153637	48.38	protein_coding
ENSG00000019991	HGF	7	81699008	81770438	34.42	protein_coding
ENSG00000279169	PRAMEF13	1	13196330	13201409	47.2	protein_coding
ENSG00000198408	OGA	10	101784443	101818465	41.92	protein_coding
ENSG00000184838	PRR16	5	120464278	120687332	35.51	protein_coding
ENSG00000087128	TMPRSS11E	4	68447449	68497604	36.69	protein_coding
ENSG00000132824	SERINC3	20	44496221	44522109	42.56	protein_coding
ENSG00000166595	CIAO2B	16	66932055	66934423	55.72	protein_coding
ENSG00000244687	UBE2V1	20	50081124	50115959	44.49	protein_coding
ENSG00000141977	CIB3	19	16161368	16173525	49.45	protein_coding
ENSG00000170801	HTRA3	4	8269765	8307111	56.08	protein_coding
ENSG00000117748	RPA2	1	27891524	27914746	44.15	protein_coding
ENSG00000157851	DPYSL5	2	26847747	26950351	46.42	protein_coding
ENSG00000182168	UNC5C	4	95162504	95549206	37.41	protein_coding
ENSG00000166272	WBP1L	10	102743901	102834516	47.42	protein_coding
ENSG00000144566	RAB5A	3	19947079	19985175	39.8	protein_coding
ENSG00000138622	HCN4	15	73319859	73369264	55.08	protein_coding
ENSG00000110484	SCGB2A2	11	62270155	62273156	40.67	protein_coding
ENSG00000101577	LPIN2	18	2916994	3013315	41.63	protein_coding
ENSG00000138031	ADCY3	2	24819169	24919839	50.99	protein_coding
ENSG00000108479	GALK1	17	75751594	75765711	60.24	protein_coding
ENSG00000124177	CHD6	20	41402101	41618494	41.1	protein_coding
ENSG00000279804	PRAMEF18	1	13222705	13226106	49.74	protein_coding
ENSG00000111845	PAK1IP1	6	10694695	10709782	40.83	protein_coding
ENSG00000130935	NOL11	17	67717833	67744531	40.57	protein_coding
ENSG00000197745	SCGB1D4	11	62296277	62299064	49.96	protein_coding
ENSG00000270601	PRAMEF5	1	13254212	13263314	47.59	protein_coding
ENSG00000121690	DEPDC7	11	33015864	33033582	38.52	protein_coding
ENSG00000151465	CDC123	10	12195965	12250589	42.91	protein_coding
ENSG00000137434	C6orf52	6	10671418	10694797	41.8	protein_coding
ENSG00000183977	PP2D1	3	19979961	20012330	39.89	protein_coding
ENSG00000105701	FKBP8	19	18531751	18544077	56.64	protein_coding
ENSG00000164144	ARFIP1	4	152779937	152918463	37.33	protein_coding
ENSG00000260802	SERTM2	23	111511662	111522399	36.81	protein_coding
ENSG00000164542	KIAA0895	7	36324221	36390125	39.56	protein_coding
ENSG00000183324	REC114	15	73443158	73560014	38.4	protein_coding
ENSG00000007944	MYLIP	6	16129125	16148248	40.19	protein_coding
ENSG00000079257	LXN	3	158645822	158672693	36.96	protein_coding
ENSG00000242114	MTFP1	22	30425530	30429053	56.98	protein_coding
ENSG00000131626	PPFIA1	11	70270700	70385312	45.09	protein_coding
ENSG00000165997	ARL5B	10	18659405	18681639	37.23	protein_coding
ENSG00000273217	NA	5	131425891	131796983	37.9	protein_coding
ENSG00000156642	NPTN	15	73560014	73634134	41.2	protein_coding
ENSG00000125878	TCF15	20	603797	610398	56.76	protein_coding
ENSG00000162174	ASRGL1	11	62337448	62393412	44.11	protein_coding
ENSG00000213719	CLIC1	6	31730581	31739763	51	protein_coding
ENSG00000158987	RAPGEF6	5	131423921	131635236	37.88	protein_coding
ENSG00000168827	GFM1	3	158644278	158692575	36.9	protein_coding
ENSG00000185960	SHOX	23	624344	659411	51.23	protein_coding
ENSG00000186684	CYP27C1	2	127184120	127220078	45.93	protein_coding
ENSG00000099999	RNF215	22	30368811	30421771	53.32	protein_coding
ENSG00000101337	TM9SF4	20	32109506	32167258	47.45	protein_coding
ENSG00000273167	NA	13	23979700	24321031	44.28	protein_coding
ENSG00000060491	OGFR	20	62804835	62814000	63.45	protein_coding
ENSG00000137154	RPS6	9	19375715	19380254	40.73	protein_coding
ENSG00000172167	MTBP	8	120445400	120542133	35.31	protein_coding
ENSG00000101972	STAG2	23	123960212	124422664	39.19	protein_coding
ENSG00000173638	SLC19A1	21	45493572	45544411	59.34	protein_coding
ENSG00000156482	RPL30	8	98024851	98046469	42.56	protein_coding
ENSG00000165471	MBL2	10	52765380	52771700	38.63	protein_coding
ENSG00000166501	PRKCB	16	23835946	24220611	43.77	protein_coding
ENSG00000176953	NFATC2IP	16	28950807	28967097	49.47	protein_coding
ENSG00000183206	POTEC	18	14507339	14543585	38.01	protein_coding
ENSG00000099995	SF3A1	22	30331988	30356947	49.04	protein_coding
ENSG00000156162	DPY19L4	8	94719703	94793836	40.06	protein_coding
ENSG00000084090	STARD7	2	96184859	96208825	42.97	protein_coding
ENSG00000187688	TRPV2	17	16415542	16437003	53.24	protein_coding
ENSG00000179148	ALOXE3	17	8095900	8119047	51.81	protein_coding
ENSG00000240849	TMEM189	20	50118254	50153734	52.37	protein_coding
ENSG00000172164	SNTB1	8	120535745	120813273	40.4	protein_coding
ENSG00000168591	TMUB2	17	44186970	44191731	52.96	protein_coding
ENSG00000197614	MFAP5	12	8637346	8662888	42.51	protein_coding
ENSG00000057149	SERPINB3	18	63655197	63661963	38.05	protein_coding
ENSG00000138092	CENPO	2	24793136	24822376	43.93	protein_coding
ENSG00000185730	ZNF696	8	143289676	143298061	58.48	protein_coding
ENSG00000141968	VAV1	19	6772714	6857366	47.39	protein_coding
ENSG00000122359	ANXA11	10	80150889	80205572	50.39	protein_coding
ENSG00000166508	MCM7	7	100092728	100101940	54.21	protein_coding
ENSG00000065665	SEC61A2	10	12129637	12169961	43.14	protein_coding
ENSG00000102245	CD40LG	23	136648193	136660390	41.62	protein_coding
ENSG00000172172	MRPL13	8	120380761	120445402	35.86	protein_coding
ENSG00000101189	MRGBP	20	62796453	62801738	59.23	protein_coding
ENSG00000133275	CSNK1G2	19	1941149	1981338	61.03	protein_coding
ENSG00000132561	MATN2	8	97868840	98036716	44.74	protein_coding
ENSG00000147257	GPC3	23	133535745	133985895	39.66	protein_coding
ENSG00000160072	ATAD3B	1	1471769	1497848	58.83	protein_coding
ENSG00000221955	SLC12A8	3	125082636	125212864	45.27	protein_coding
ENSG00000100003	SEC14L2	22	30396857	30425317	50.43	protein_coding
ENSG00000173156	RHOD	11	67056818	67072013	55.63	protein_coding
ENSG00000184924	PTRHD1	2	24789734	24793382	45.88	protein_coding
ENSG00000197978	GOLGA6L9	15	82430018	82439153	47.43	protein_coding
ENSG00000137198	GMPR	6	16238580	16295549	47.83	protein_coding
ENSG00000011523	CEP68	2	65056366	65087004	47.81	protein_coding
ENSG00000103023	PRSS54	16	58279997	58295047	45.92	protein_coding
ENSG00000213722	DDAH2	6	31727038	31730617	59.86	protein_coding
ENSG00000197888	UGT2B17	4	68537184	68568527	35.68	protein_coding
ENSG00000072840	EVC	4	5711197	5814305	47.4	protein_coding
ENSG00000285077	ARHGAP11B	15	30624494	30638805	40.07	protein_coding
ENSG00000065548	ZC3H15	2	186486156	186509363	37.22	protein_coding
ENSG00000101665	SMAD7	18	48919853	48952052	52.56	protein_coding
ENSG00000147596	PRDM14	8	70051651	70071693	47.16	protein_coding
ENSG00000184659	FOXD4L4	9	65736555	65738784	60.67	protein_coding
ENSG00000284906	NA	15	30624548	30685606	39.43	protein_coding
ENSG00000033627	ATP6V0A1	17	42458844	42522611	45.47	protein_coding
ENSG00000138760	SCARB2	4	76158733	76234536	41.79	protein_coding
ENSG00000168291	PDHB	3	58427630	58433857	43.56	protein_coding
ENSG00000271303	SRXN1	20	646615	653370	52.81	protein_coding
ENSG00000109756	RAPGEF2	4	159103013	159360174	36.75	protein_coding
ENSG00000175161	CADM2	3	84958981	86074429	34	protein_coding
ENSG00000206072	SERPINB11	18	63647579	63726432	38.19	protein_coding
ENSG00000138069	RAB1A	2	65070696	65130331	42.82	protein_coding
ENSG00000270299	NA	20	646626	675800	53.26	protein_coding
ENSG00000103021	CCDC113	16	58231157	58283836	43.46	protein_coding
ENSG00000215397	SCRT2	20	661596	676179	56.71	protein_coding
ENSG00000170634	ACYP2	2	53970838	54305300	40.31	protein_coding
ENSG00000198839	ZNF277	7	112206588	112343096	37.36	protein_coding
ENSG00000124788	ATXN1	6	16299112	16761491	41.86	protein_coding
ENSG00000196620	UGT2B15	4	68646630	68670628	34.93	protein_coding
ENSG00000261794	GOLGA8H	15	30604126	30614561	53.12	protein_coding
ENSG00000197766	CFD	19	859643	863630	66.2	protein_coding
ENSG00000177324	BEND2	23	18162931	18220883	40.11	protein_coding
ENSG00000176641	RNF152	18	61808063	61894247	42.43	protein_coding
ENSG00000102172	SMS	23	21940573	21994835	43.48	protein_coding
ENSG00000072832	CRMP1	4	5748084	5893058	48.98	protein_coding
ENSG00000115355	CCDC88A	2	55287842	55419895	36.44	protein_coding
ENSG00000071282	LMCD1	3	8501707	8574673	43.88	protein_coding
ENSG00000110400	NECTIN1	11	119623408	119729084	54.84	protein_coding
ENSG00000178021	TSPYL6	2	54253184	54256272	48.92	protein_coding
ENSG00000173838	MARCH10	17	62701314	62808344	46.16	protein_coding
ENSG00000136099	PCDH8	13	52842889	52848641	56.58	protein_coding
ENSG00000068878	PSME4	2	53864067	53970840	37.98	protein_coding
ENSG00000172738	TMEM217	6	37212180	37258155	43.72	protein_coding
ENSG00000153560	UBP1	3	33388336	33441371	40.23	protein_coding
ENSG00000172289	OR10V1	11	59712916	59713845	47.85	protein_coding
ENSG00000166900	STX3	11	59713456	59805882	43.39	protein_coding
ENSG00000065491	TBC1D22B	6	37257772	37332970	43.34	protein_coding
ENSG00000102098	SCML2	23	18239314	18354727	39.57	protein_coding
ENSG00000077380	DYNC1I2	2	171687409	171748420	36.49	protein_coding
ENSG00000197785	ATAD3A	1	1512151	1534687	59.87	protein_coding
ENSG00000102837	OLFM4	13	53028759	53052057	40.09	protein_coding
ENSG00000234602	MCIDAS	5	55219614	55227315	52.87	protein_coding
ENSG00000073605	GSDMB	17	39904595	39919854	48.85	protein_coding
ENSG00000112308	C6orf62	6	24704861	24720836	40.31	protein_coding
ENSG00000176542	USF3	3	113648385	113696646	40.61	protein_coding
ENSG00000141959	PFKL	21	44300051	44327376	63.48	protein_coding
ENSG00000174123	TLR10	4	38772239	38782990	38.76	protein_coding
ENSG00000166997	CNPY4	7	100119613	100125511	50.62	protein_coding
ENSG00000140396	NCOA2	8	70109762	70403805	38.24	protein_coding
ENSG00000241690	NA	20	2814968	2818066	57.83	protein_coding
ENSG00000198326	TMEM239	20	2816302	2820284	52.77	protein_coding
ENSG00000169340	PDILT	16	20359170	20404737	45.11	protein_coding
ENSG00000085733	CTTN	11	70398404	70436584	52.81	protein_coding
ENSG00000258713	C20orf141	20	2814987	2815833	60.68	protein_coding
ENSG00000176148	TCP11L1	11	33039417	33105943	42.1	protein_coding
ENSG00000112304	ACOT13	6	24667035	24705065	41.43	protein_coding
ENSG00000114200	BCHE	3	165772904	165837472	32.3	protein_coding
ENSG00000163162	RNF149	2	101271219	101308701	41.19	protein_coding
ENSG00000136261	BZW2	7	16646131	16706523	37.77	protein_coding
